word	pronunciation	occurrences	mean length of utterance
a	a	1	0.0533
a	aa	141	0.0974900709219858
a	ae	14	0.0903
a	ah	3915	0.0724194891443168
a	ah hh	1	0.219
a	ah m	1	0.101
a	ahn	2	0.0907
a	ah v	1	0.089
a	ao	3	0.2281
a	aon	1	0.06
a	ay	8	0.0742
a	ay ih l ah	1	0.178
a	d	1	0.0647
a	dh ah	1	0.103
a	dh ey	1	0.252
a	d ih	2	0.0777
a	dx ah	1	0.0565
a	dx ih	1	0.0464
a	eh	402	0.0679651741293532
a	eh m	1	0.322
a	el	88	0.0706136363636364
a	em	8	0.074375
a	en	9	0.0533111111111111
a	eng	3	0.0509666666666667
a	er	46	0.0667108695652174
a	er ah	1	0.101
a	ey	405	0.131727160493827
a	f	1	0.047
a	g	1	0.03
a	hh	1	0.065
a	hh ae v ih ng ey	1	0.337
a	hh ey	1	0.547
a	ih	993	0.053127693856999
a	ih ah	1	0.189
a	ih w	1	0.0882
a	iy	22	0.0661272727272727
a	jh ah	1	0.109
a	k	1	0.0329
a	k ah	1	0.121
a	l	5	0.09158
a	m	1	0.0535
a	m ah	1	0.108
a	n ah	4	0.105525
a	n ih	1	0.174
a	nx ah	3	0.0802333333333333
a	ow	14	0.0831071428571429
a	p	1	0.064
a	r ah	1	0.0683
a	r ih	1	0.0986
a	s	2	0.0355
a	t	2	0.0657
a	uh	50	0.05552
a	uw	14	0.0432071428571429
a	uw m ey nx ah hh ah	1	0.353
a	v	1	0.06
a	v ah	1	0.0941
a	w	1	0.0524
a	y ah	1	0.17
a	y ih	1	0.0759
a	y ow	1	0.113
a	z	2	0.05275
a	z uh	1	0.0972
aaron's	ih r ih n z	1	0.33
abandoned	ah b ae n d ih n	1	0.474
abercrombie	ae b er k r aa m b iy	1	0.813
abhorrent	ae b hh ao r ah n t	1	1.11
abhorrent	ae b hh ao r ahn tq	1	0.845
abide	b ay b	1	0.259
abilities	ah b uh l ah iy z	1	0.506
abilities	ah v b ih l uh dx iy z	1	0.641
ability	aa b ih l ah d iy	1	0.559
ability	ah b ih l ih dx iy	2	0.433
ability	ah b ih l iy	1	0.38
ability	b ih l ah dx iy	1	0.485
ability	eh b ih l uw dx iy	1	0.39
ability	ih b ih l ih dx iy	1	0.479
able	ah b ah	1	0.117
able	ah b ah l	1	0.15
able	ah b el	4	0.1485
able	b el	1	0.123
able	eh b ah	2	0.141
able	eh b ah l	2	0.167
able	eh b el	10	0.1641
able	eh el	1	0.218
able	eh l	1	0.105
able	eh w el	1	0.199
able	ey b ah	3	0.156333333333333
able	ey b ah l	10	0.2487
able	ey b ao	1	0.208
able	ey b el	55	0.2096
able	ey b l	3	0.186666666666667
able	ey b uh	5	0.1788
able	ey el	1	0.0864
able	ey v ah	1	0.13
able	ey v ah l	1	0.157
able	ey v el	2	0.1695
able	ey w ah	2	0.128
able	ey w b el	1	0.21
able	ey w el	2	0.195
able	ih b ah	1	0.116
able	ih b ah l	1	0.18
able	ih b el	4	0.1555
able	ih v el	1	0.15
able	r ey b el	1	0.264
abortion	ah b ao r sh ah n	4	0.57625
abortion	ah b ao r sh en	1	0.41
abortion	ah b ao r sh ih n	1	0.53
abortion	ah b ow r sh ah n	1	0.48
abortion	ah b ow r sh eh n	1	0.683
abortion	ah b ow r sh en	1	0.418
abortion	eh b ow r sh ih n	1	0.577
abortions	ah b ow r sh ah n s	1	0.558
about	aa b aw tq	1	0.565
about	aa g	1	0.16
about	ah	1	0.0623
about	ah b aa	7	0.239
about	ah b aa dx	27	0.276851851851852
about	ah b aa k	1	0.259
about	ah b aa t	15	0.2662
about	ah b aa tq	19	0.250578947368421
about	ah b ae	2	0.1945
about	ah b ae d	1	0.242
about	ah b ae dx	12	0.249833333333333
about	ah b ae t	6	0.276666666666667
about	ah b ae tq	6	0.260333333333333
about	ah b ah	3	0.183666666666667
about	ah b ah d	1	0.164
about	ah b ah dx	6	0.213333333333333
about	ah b ah f	1	0.22
about	ah b ah t	9	0.232
about	ah b ah tq	7	0.237
about	ah b ao t	1	0.297
about	ah b aw	34	0.2815
about	ah b aw b	1	0.223
about	ah b aw ch	2	0.254
about	ah b aw d	5	0.2712
about	ah b aw dx	111	0.286558558558559
about	ah b aw p	1	0.165
about	ah b aw t	171	0.303941520467836
about	ah b aw t dh	1	0.36
about	ah b aw th	1	0.306
about	ah b aw tq	165	0.29369696969697
about	ah b ow t	1	0.295
about	ah m aw tq	1	0.245
about	ah m b aa dx	1	0.418
about	ah m b aw tq	2	0.304
about	ah p aa t	1	0.208
about	ah t	1	0.219
about	ah v aa t	2	0.2265
about	ah v ah dx	1	0.179
about	ah v ah t	1	0.239
about	ah v aw d	1	0.307
about	ah v aw t	2	0.277
about	ah v aw tq	1	0.301
about	ao b aw t	1	0.251
about	aw t	1	0.513
about	b	1	0.223
about	b aa	5	0.1268
about	b aa dx	18	0.228333333333333
about	b aa t	12	0.189525
about	b aa tq	5	0.18934
about	b ae	2	0.118
about	b ae dx	3	0.2
about	b ae s	1	0.26
about	b ae t	3	0.187
about	b ah	6	0.148
about	b ah d	1	0.137
about	b ah dx	4	0.1985
about	b ah ih	1	0.152
about	b ah t	11	0.185663636363636
about	b ah tq	5	0.1626
about	b ao	1	0.182
about	b ao t	1	0.212
about	b aw	21	0.190428571428572
about	b aw b	1	0.231
about	b aw d	6	0.226
about	b aw dx	17	0.217647058823529
about	b aw k	1	0.222
about	b aw n	1	0.211
about	b aw t	61	0.230288524590164
about	b aw tq	61	0.220950819672131
about	b ay tq	1	0.125
about	b ow b	1	0.215
about	d aw t	1	0.213
about	eh b aa d	1	0.307
about	eh b aa dx	2	0.302
about	eh b aa t	2	0.347
about	eh b aa tq	1	0.27
about	eh b ae tq	2	0.2155
about	eh b ah t	1	0.198
about	eh b aw	2	0.2695
about	eh b aw dx	3	0.291
about	eh b aw t	9	0.315333333333333
about	eh b aw tq	6	0.332666666666667
about	em ah t	1	0.228
about	em aw p	1	0.262
about	em aw t	1	0.306
about	em b aa t	1	0.322
about	em b aw t	1	0.352
about	em b aw tq	3	0.516
about	em b aw w	1	0.27
about	er b aw dx	1	0.25
about	er b aw t	2	0.3375
about	er b aw tq	3	0.264333333333333
about	er v aa dx	1	0.213
about	f aa d	1	0.242
about	hh ah b aw t	1	0.483
about	ih ah t	1	0.155
about	ih b aa	1	0.16
about	ih b aa dx	12	0.268583333333333
about	ih b aa t	10	0.2573
about	ih b aa tq	6	0.2485
about	ih b ae	1	0.191
about	ih b ae dx	1	0.236
about	ih b ae t	3	0.241333333333333
about	ih b ae tq	3	0.328
about	ih b ah	2	0.1845
about	ih b ah dx	2	0.2385
about	ih b ah p	1	0.189
about	ih b ah t	3	0.220666666666667
about	ih b ao t	1	0.391
about	ih b ao tq	1	0.238
about	ih b aw	7	0.256571428571429
about	ih b aw dx	16	0.264375
about	ih b aw n	1	0.37
about	ih b aw t	29	0.279068965517241
about	ih b aw tq	36	0.310888888888889
about	ih b ow t	1	0.266
about	ih v aa	1	0.139
about	ih v ae	1	0.229
about	k ah b aw tq	1	0.296
about	k ah v aw	1	0.276
about	l ah b aw t	1	0.529
about	m aw tq	1	0.199
about	nx eh b ae dx	1	0.281
about	ow b aa dx	1	0.297
about	ow b aa tq	2	0.3165
about	ow b aw	1	0.276
about	p aa t	1	0.246
about	t ah b aw	2	0.359
about	t ah b aw tq	1	0.265
about	t b aw	1	0.182
about	uh b aa	1	0.341
about	uh b aa t	1	0.272
about	uh b aa tq	2	0.2945
about	uh b aw dx	3	0.263333333333333
about	uh b aw tq	9	0.3
about	v ae dx	1	0.165
about	v ah	1	0.104
about	v ah dx	1	0.13
about	v aw d	1	0.159
about	v aw t	1	0.259
about	v aw tq	2	0.1585
about	w ah t	1	0.152
about	zh ah t	1	0.169
above	ah b ah f	1	0.279
above	ah b ah v	8	0.32425
above	eh b ah v	1	0.224
above	ih b ah f	1	0.433
above	ih b ah v	4	0.37875
abraham	ey b r eh hh ae m	1	0.436
abroad	ah b r aa d	2	0.3835
abrupt	ah b r ah p t	1	0.526
abruptly	ah b r ah p t l iy	1	0.558
absence	ae b s ah n s	1	0.735
absent	ae b s eh n t	1	0.42
absentee	ae b s ah t iy	1	0.522
absentee	ae b s ih n t iy	1	0.68
absentee	ae p s ah n t iy	2	0.4975
absentee	ae p s ih n t iy	1	0.522
absolute	ae b s ih uw tq	1	0.351
absolute	ae b s l uw t	1	0.489
absolute	ao b s el uw	1	0.41
absolutely	ae b s ah l uh tq l iy	2	0.724
absolutely	ae b s ah l uw l iy	2	0.7925
absolutely	ae b s ah l uw tq l iy	3	0.973333333333333
absolutely	ae b s el uw tq l ey	1	0.753
absolutely	ae b s el uw tq l iy	1	0.645
absolutely	ae b s ih l uw	1	0.419
absolutely	ae b s l ih	1	0.323
absolutely	ae b s l iy	2	0.3565
absolutely	ae b s l uh iy	1	0.381
absolutely	ae b s l uw tq l iy	1	0.671
absolutely	ae s uw l iy	1	0.484
absolutely	b s l uh tq l iy	1	0.613
absorb	ah b z ow r b	1	0.574
absorbs	eh b z ow r b z	1	0.602
abstinence	ae b s ih n ih n s	1	0.591
abstinence	ae b s t ah n eh n s	1	0.634
abstract	ae b s t r ae k	1	0.619
abstract	ae b s t r ae k t	1	0.62
abuse	ah b uw s	1	0.425
abuse	ah b y uw s	4	0.4795
abuse	ah b y uw z	1	0.432
abuse	ih b y uw s	1	0.494
abuse	ih b y uw z	1	0.398
abuse	iy b uw s	1	0.418
abused	ae b y uw s	1	0.573
abused	ah b y uw z	1	0.509
abused	ah b y uw z d	2	0.533
abused	eh b y uw s d	1	0.463
abused	ih b y uw s d	1	0.515
abused	ih b y uw z	1	0.499
abuses	ah b uw z ih z	1	0.457
abusing	ah b y uw z en	1	0.529
abusing	ih b y uw z ih ng	1	0.79
abusive	ih b y uw s ih f	1	0.743
academic	ae k ah d eh m ih k	1	0.57
academically	ae k ah d eh m ih k l iy	1	0.835
academically	ae k d eh m ah k l iy	1	0.71
academics	ae k ah d eh m ih k s	3	0.475
academics	ae k ah dx eh m ih k s	1	0.58
academics	ae k d eh m ih k s	1	0.616
academics	eh k ih d eh m ih k s	1	0.663
academies	ih k ae d ah m iy z	1	0.437
academy	ah k ae dx ah m iy	1	0.395
academy	ah k ae eh m iy	1	0.383
academy	ih k ae dx ah m iy	1	0.373
academy	ih k ae n em iy	1	0.351
academy	k ae dx eh m iy	2	0.459
accent	ae k s eh n	2	0.4875
accent	ae k s eh n t	3	0.401666666666667
accent	ae k s eh nx	1	0.404
accents	ae k s eh n s	2	0.647
accents	ae k s eh n t s	2	0.502
accept	ae k s eh p	1	0.234
accept	ae k s eh p t	4	0.38675
accept	ah k s eh p t	3	0.477
accept	eh k s eh p	1	0.245
accept	eh k s eh p t	1	0.347
accept	eh k s eh t	1	0.365
accept	ih k s eh p	1	0.313
accept	ih k s eh p t	2	0.45
accept	ih k s eh t	1	0.436
accept	uh k s eh p t	2	0.4545
acceptable	ae k s eh p ah b el	1	0.566
acceptable	ae k s eh p t ah b ah l	1	0.472
